"component_family","component_uid","parent_control_point_uid","component_name","component_secondary_name","component_detail_name","component_codeline","reference_column","reference_value"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPCTL1","0;1;100000"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPCTL10","0;0;0;0"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPCTL11","0;0;0;0"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPCTL12","0;0;0;0"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPCTL13","0;0;0;0"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPCTL2","0;1;100000"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPCTL3","0;1;100000"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPCTL4","0;1;100000"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPCTL5","0;1;100000"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPCTL6","0;0;0;0"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPCTL7","0;0;0;0"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPCTL8","0;0;0;0"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPCTL9","0;0;0;0"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPIND1","9;1;100000"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPIND10","0;1;100000"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPIND11","0;0;100000;5"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPIND12","0;0;100000;5"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPIND13","0;0;100000;5"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPIND2","8;1;100000"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPIND3","13;1;100000"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPIND4","11;1;100000"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPIND5","0;1;100000"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPIND6","0;1;100000"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPIND7","0;1;100000"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPIND8","0;1;100000"
"control_point","100000","100000","CARL","NULL","CP Carl","5","CPIND9","0;1;100000"
"control_point","100000","100000","CARL","NULL","CP Carl","5","ScadaAlarmReportingIndicationBit","0;1;100000"
"control_point","100001","100001","SONGS","NULL","CP Songs","5","CPCTL1","0;1;100001"
"control_point","100001","100001","SONGS","NULL","CP Songs","5","CPCTL10","0;0;0;0"
"control_point","100001","100001","SONGS","NULL","CP Songs","5","CPCTL11","0;0;0;0"
"control_point","100001","100001","SONGS","NULL","CP Songs","5","CPCTL12","0;0;0;0"
"control_point","100001","100001","SONGS","NULL","CP Songs","5","CPCTL13","0;0;0;0"
"control_point","100001","100001","SONGS","NULL","CP Songs","5","CPCTL2","0;1;100001"
"control_point","100001","100001","SONGS","NULL","CP Songs","5","CPCTL3","0;1;100001"
"control_point","100001","100001","SONGS","NULL","CP Songs","5","CPCTL4","0;1;100001"
"control_point","100001","100001","SONGS","NULL","CP Songs","5","CPCTL5","0;1;100001"
"control_point","100001","100001","SONGS","NULL","CP Songs","5","CPCTL6","0;0;0;0"
"control_point","100001","100001","SONGS","NULL","CP Songs","5","CPCTL7","0;0;0;0"
