"UID","ControlPoint","Name","Type","LX","LY","RX","RY","LeftLink","RightLink","LeftAltLink","RightAltLink","AltLinkOne","AltLinkTwo","Codeline","CPIND1","CPIND2","CPIND3","CPIND4","CPIND5","CPIND6","CPIND7","CPIND8","CPIND9","CPCTL1","CPIND10","CPCTL2","CPIND11","CPCTL3","CPIND12","CPCTL4","CPIND13","AuthorityType","TerritoryAssignment","Subdivision","UniqueID","TTUID","UniqueName","TimeZone","GraphicGroup","ScreenRegion","Spare01","Spare02","Spare03","Spare04","Spare05","Notes","SlotSMControlOnIndication","AllowStatusPublishing","EnableResendControlLogic","ResendControlTime","AllowAutomaticMode","AutomaticModeOn","AllowSnowMelterTimer","SnowMelterTime","AllowForceOperationsToTWC","AllowControlPointCorrelation","CorrelatingControlPointReferences","TemporalMode","CPCTL5","CPCTL6","CPCTL7","CPCTL8","CPCTL9","CPCTL10","TemporalModePointOfConflict","Milepost","MilepostSuffix","MilepostPrefix","AdditionalReferenceUID","MakeInVisible","DisableAutomaticSignalSlotting","SnowMelterTimeStampOn","TunnelAutomaticMode","TunnelAutomaticControlled","ScadaTractionPowerControlPointMode","ScadaCommunicationControlPointMode","ScadaNonReportingModeControlled","ScadaAlarmReportingIndicationBit","DevicePTCUID","ControllingWorkstation","ControllingWorkStationIPString","PTC_SiteName","PTC_SiteAddress","PTC_SecurityKey","PTC_WIUID","PTC_RailroadSCAC","PTC_UID_KEY","CPIndex","StartCompUID","ConnectingCompUID","Direction","CPCTL11","CPCTL12","CPCTL13","RailroadUniqueIdentifierName","AlarmDisabledByOffice","SnowMelterControlledBy","SnowMelterIndicateToOffice","ExpSlotTimerFlag","ExpSlotIndFlag","ExpSlotTimer","ExpSlotCPUID","ExpSlotCPIND","DisableTrackFlooding","EnablePTC"
"100000","100000","CARL","N","1110","315","1235","455","0","0","0","0","0","0","5","9;1;100000","8;1;100000","13;1;100000","11;1;100000","0;1;100000","0;1;100000","0;1;100000","0;1;100000","0;1;100000","0;1;100000","0;1;100000","0;1;100000","0;0;100000;5","0;1;100000","0;0;100000;5","0;1;100000","0;0;100000;5","CTC","100","2","0","12","NULL","PACIFIC","1","6",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;1;100000","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100000","",,,"CP Carl","nctc.w.505003:58.wiu","C4590F7DF5E2F86AAA05FBC65BB7FB4E46AADBFB6B9ED3AD","734050500358","NCTC","","0","0","0","","0;0;0;0","0;0;0;0","0;0;0;0",,,"NOTHING","False",,,,,,,
"100001","100001","SONGS","N","160","70","365","125","0","0","0","0","0","0","5","9;1;100001","8;1;100001","13;1;100001","0;1;100001","0;1;100001","0;1;100001","0;1;100001","0;1;100001","0;1;100001","0;1;100001","0;1;100001","0;1;100001","0;0;100001;5","0;1;100001","0;0;100001;5","0;1;100001","0;0;100001;5","CTC","100","2","0","1","NULL","PACIFIC","1","2",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;1;100001","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100001","",,,"CP Songs","nctc.w.505001:20.wiu","C4590F7DF5E2F86AAA05FBC65BB7FB4E46AADBFB6B9ED3AD","734050500120","NCTC","","0","0","0","","0;0;0;0","0;0;0;0","0;0;0;0",,,"NOTHING","False",,,,,,,
"100002","100002","DON","N","545","70","605","125","0","0","0","0","0","0","5","18;1;100002","17;1;100002","20;1;100002","19;1;100002","0;1;100002","0;1;100002","0;1;100002","0;1;100002","0;1;100002","0;1;100002","0;1;100002","0;1;100002","0;0;100002;5","0;1;100002","0;0;100002;5","0;1;100002","0;0;100002;5","CTC","100","2","0","2","NULL","PACIFIC","1","2",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;1;100002","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100002","",,,"CP Don","nctc.w.505001:14.wiu","C4590F7DF5E2F86AAA05FBC65BB7FB4E46AADBFB6B9ED3AD","734050500114","NCTC","","0","0","0","","0;0;0;0","0;0;0;0","0;0;0;0",,,"NOTHING","False",,,,,,,
"100003","100003","PULGAS","N","825","70","910","500","0","0","0","0","0","0","5","9;1;100003","8;1;100003","13;1;100003","11;1;100003","0;1;100003","0;1;100003","0;1;100003","0;1;100003","0;1;100003","0;1;100003","0;1;100003","0;1;100003","0;0;100003;5","0;1;100003","0;0;100003;5","0;1;100003","0;0;100003;5","CTC","100","2","0","3","NULL","PACIFIC","1","2",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;1;100003","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100003","",,,"CP Pulgas","nctc.w.505001:27.wiu","C4590F7DF5E2F86AAA05FBC65BB7FB4E46AADBFB6B9ED3AD","734050500127","NCTC","","0","0","0","","0;0;0;0","0;0;0;0","0;0;0;0",,,"NOTHING","False",,,,,,,
"100004","100004","CUDAHY","N","535","835","840","885","0","0","0","0","0","0","5","18;1;100004","17;1;100004","20;1;100004","19;1;100004","0;1;100004","0;1;100004","0;1;100004","0;1;100004","0;1;100004","0;1;100004","0;1;100004","0;1;100004","0;0;100004;5","0;1;100004","0;0;100004;5","0;1;100004","0;0;100004;5","CTC","100","2","0","0","NULL","PACIFIC","1","16",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;1;100004","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100004","",,,"CP Cudahy","nctc.w.505006:87.wiu","C4590F7DF5E2F86AAA05FBC65BB7FB4E46AADBFB6B9ED3AD","734050500687","NCTC","","0","0","0","","0;0;0;0","0;0;0;0","0;0;0;0",,,"NOTHING","False",,,,,,,
"100005","100005","STUART","N","1150","70","1020","205","0","0","0","0","0","0","5","9;1;100005","8;1;100005","13;1;100005","11;1;100005","0;1;100005","0;1;100005","0;1;100005","0;1;100005","0;1;100005","0;1;100005","0;1;100005","0;1;100005","0;0;100005;5","0;1;100005","0;0;100005;5","0;1;100005","0;0;100005;5","CTC","100","2","0","4","NULL","PACIFIC","1","2",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;1;100005","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100005","",,,"CP Stuart","nctc.w.505002:18.wiu","C4590F7DF5E2F86AAA05FBC65BB7FB4E46AADBFB6B9ED3AD","734050500218","NCTC","","0","0","0","","0;0;0;0","0;0;0;0","0;0;0;0",,,"","False",,,,,,,
"100006","100006","MESA","N","1525","70","1215","205","0","0","0","0","0","0","5","9;1;100006","8;1;100006","13;1;100006","0;1;100006","0;1;100006","0;1;100006","0;1;100006","0;1;100006","0;1;100006","0;1;100006","0;1;100006","0;1;100006","0;0;100006;5","0;1;100006","0;0;100006;5","0;1;100006","0;0;100006;5","CTC","100","2","0","5","NULL","PACIFIC","1","2",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;1;100006","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100006","",,,"CP Mesa","nctc.w.505002:36.wiu","C4590F7DF5E2F86AAA05FBC65BB7FB4E46AADBFB6B9ED3AD","734050500236","NCTC","","0","0","0","","0;0;0;0","0;0;0;0","0;0;0;0",,,"","False",,,,,,,
"100007","100007","ROSE","N","155","840","400","1075","0","0","0","0","0","0","5","9;1;100007","8;1;100007","13;1;100007","11;1;100007","0;1;100007","0;1;100007","0;1;100007","0;1;100007","0;1;100007","0;1;100007","0;1;100007","0;1;100007","0;0;100007;5","0;1;100007","0;0;100007;5","0;1;100007","0;0;100007;5","CTC","100","2","0","0","NULL","PACIFIC","1","16",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;1;100007","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100007","",,,"CP Rose","nctc.w.505005:83.wiu","C4590F7DF5E2F86AAA05FBC65BB7FB4E46AADBFB6B9ED3AD","734050500583","NCTC","","0","0","0","","0;0;0;0","0;0;0;0","0;0;0;0",,,"NOTHING","False",,,,,,,
"100008","100008","BROADWAY","N","1640","820","1680","780","0","0","0","0","0","0","5","17;1;100008","8;1;100008","19;1;100008","18;1;100008","0;1;100008","0;1;100008","0;1;100008","0;1;100008","0;1;100008","0;1;100008","0;1;100008","0;1;100008","0;0;100008;5","0;1;100008","0;0;100008;5","0;1;100008","0;0;100008;5","CTC","100","2","0","0","NULL","PACIFIC","1","15",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;1;100008","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100008","CP Broadway|734050500695",,,"CP Broadway","nctc.w.505006:95.wiu","785406149F59E3D55A0D26D955793349F5E7E63E9F3CA3E0","734050500695","NCTC","","0","0","0","","0;0;0;0","0;0;0;0","0;0;0;0",,,"NOTHING","False",,,,,,,
"100009","100009","EAST BROOK","N","1805","70","510","440","0","0","0","0","0","0","5","0;0;100009;5","0;0;100009;5","0;0;100009;5","0;0;100009;5","0;0;100009;5","0;0;100009;5","0;0;100009;5","0;0;100009;5","0;0;100009;5","0;0;0;0","0;0;100009;5","0;0;0;0","0;0;100009;5","0;0;0;0","0;0;100009;5","0;0;0;0","0;0;100009;5","CTC","100","2","0","8","NULL","PACIFIC","1","2",,,,,,"NONE","False","False","False","60","False",,"False","0","False","False","","False","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","0;0;0;0","False","0","","",,"False","False",,"False","False","False","False","False","0;1;100009","",,,"CP East Brook","nctc.w.505002:48.wiu","C4590F7DF5E2F86AAA05FBC65BB7FB4E46AADBFB6B9ED3AD","734050500248","NCTC","","0","0","0","","0;0;0;0","0;0;0;0","0;0;0;0",,,"","False",,,,,,,
