"UID","ControlPoint","ControlPointName","Name","Type","TypeOfDevice","DeviceCategory","SecondaryText","DeviceControl","ControlOnly","IndicateOnly","FlashControl","FlashIndicate","ScadaMode","TrackInterlockMode","Codeline","CPCTL1","CPCTL2","CPCTL3","CPIND1","CPIND2","CPIND3","TerritoryAssignment","Subdivision","SubdivisionName","TrackGUID","TrackComponentName","TrackName","TrackAlias","Notes"
"100270","100011","PACIFIC","E CALL-ON","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","5","0;1;100011;","0;1;100011;","0;1;100011;","14;1;100011;0005","0;1;100011;0005","0;1;100011;0005","100","2","SAN DIEGO","",,,,"NONE"
"100273","100013","ESCONDIDO JCT","2W CALL-ON","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","5","0;1;100013;","0;1;100013;","0;1;100013;","9;1;100013;0005","0;1;100013;0005","0;1;100013;0005","100","2","SAN DIEGO","",,,,"NONE"
"100290","100013","ESCONDIDO JCT","4W CALL-ON","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","5","0;1;100013;","0;1;100013;","0;1;100013;","10;1;100013;0005","0;1;100013;0005","0;1;100013;0005","100","2","SAN DIEGO","",,,,"NONE"
"100292","100013","ESCONDIDO JCT","6W CALL-ON","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","5","0;1;100013;","0;1;100013;","0;1;100013;","15;1;100013;0005","0;1;100013;0005","0;1;100013;0005","100","2","SAN DIEGO","",,,,"NONE"
"100358","100008","BROADWAY","2W CALL-ON","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","5","0;1;100008;","0;1;100008;","0;1;100008;","21;1;100008;0005","0;1;100008;0005","0;1;100008;0005","100","2","SAN DIEGO","",,,,"NONE"
"100359","100033","ASH","2 E CALL-ON","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","5","0;1;100033;","0;1;100033;","0;1;100033;","29;1;100033;0005","0;1;100033;0005","0;1;100033;0005","100","2","SAN DIEGO","",,,,"NONE"
"100360","100033","ASH","4 E CALL-ON","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","5","0;1;100033;","0;1;100033;","0;1;100033;","30;1;100033;0005","0;1;100033;0005","0;1;100033;0005","100","2","SAN DIEGO","",,,,"NONE"
"100361","100008","BROADWAY","TPOK","D","IndicateOnly",,"NONE;-1",";-;","False","False","False","False","False","False","5","0;1;100008;","0;1;100008;","0;1;100008;","20;1;100008;0005","0;1;100008;0005","0;1;100008;0005","100","2","SAN DIEGO","",,,,"NONE"
"100894","100013","ESCONDIDO JCT","WBRQK","D","ArrowLeft",,"WBRQK;-16711936",";-;","False","False","False","True","False","False","5","0;1;100013;","0;1;100013;","0;1;100013;","24;1;100013;0005","0;1;100013;0005","0;1;100013;0005","100","2","SAN DIEGO","",,,,"NONE"
"100895","100013","ESCONDIDO JCT","EBRLK","D","ArrowRight",,"EBRLK;-16711936",";-;","False","False","False","False","False","False","5","9;1;100013;","0;1;100013;","0;1;100013;","23;1;100013;0005","0;1;100013;0005","0;1;100013;0005","100","2","SAN DIEGO","",,,,"NONE"
