"UID","ControlPoint","Name","Type","LX","LY","RX","RY","LeftLink","RightLink","LeftAltLink","RightAltLink","AltLinkOne","AltLinkTwo","Codeline","CPIND1","CPIND2","CPIND3","CPCTL1","CPCTL2","CPCTL3","TerritoryAssignment","MatchMode","IndicateOnly","ControlOnly","FlashIndicate","FlashControl","Color","TypeOfDevice","Subdivision","GraphicGroup","ScreenRegion","TrackGUID","FontString","SecondaryText","DeviceControl","ControlStatus","Notes","AlarmOnIndication","AlarmNotification","SlotControlOnIndication","InvertIndication","ManualOperateMode","AllowSnowMelterTimer","SnowMelterTime","ScadaMode","TrackInterlockMode","DisableSlotting","RRUniqueIdentifierName","ScadaSuppressTime","DeviceCategory"
"100270","100011","E CALL-ON","D","290","395","305","375","0","0","0","0","0","0","5","14;1;100011;0005","0;1;100011;0005","0;1;100011;0005","0;1;100011;","0;1;100011;","0;1;100011;","100","False","False","False","False","False","-256","IndicateOnly","2","1","8","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"100273","100013","2W CALL-ON","D","765","402","700","345","0","0","0","0","0","0","5","9;1;100013;0005","0;1;100013;0005","0;1;100013;0005","0;1;100013;","0;1;100013;","0;1;100013;","100","False","False","False","False","False","-256","IndicateOnly","2","1","8","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"100290","100013","4W CALL-ON","D","785","442","780","400","0","0","0","0","0","0","5","10;1;100013;0005","0;1;100013;0005","0;1;100013;0005","0;1;100013;","0;1;100013;","0;1;100013;","100","False","False","False","False","False","-256","IndicateOnly","2","1","9","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"100292","100013","6W CALL-ON","D","655","362","800","445","0","0","0","0","0","0","5","15;1;100013;0005","0;1;100013;0005","0;1;100013;0005","0;1;100013;","0;1;100013;","0;1;100013;","100","False","False","False","False","False","-256","IndicateOnly","2","1","7","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"100358","100008","2W CALL-ON","D","1820","962","700","345","0","0","0","0","0","0","5","21;1;100008;0005","0;1;100008;0005","0;1;100008;0005","0;1;100008;","0;1;100008;","0;1;100008;","100","False","False","False","False","False","-256","IndicateOnly","2","1","18","","Calibri;Regular;9","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"100359","100033","2 E CALL-ON","D","1130","885","1155","860","0","0","0","0","0","0","5","29;1;100033;0005","0;1;100033;0005","0;1;100033;0005","0;1;100033;","0;1;100033;","0;1;100033;","100","False","False","False","False","False","-256","IndicateOnly","2","1","17","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"100360","100033","4 E CALL-ON","D","1130","995","1170","990","0","0","0","0","0","0","5","30;1;100033;0005","0;1;100033;0005","0;1;100033;0005","0;1;100033;","0;1;100033;","0;1;100033;","100","False","False","False","False","False","-128","IndicateOnly","2","1","19","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"100361","100008","TPOK","D","1695","845","1730","795","0","0","0","0","0","0","5","20;1;100008;0005","0;1;100008;0005","0;1;100008;0005","0;1;100008;","0;1;100008;","0;1;100008;","100","False","False","False","False","False","-128","IndicateOnly","2","1","16","","Microsoft Sans Serif;Regular;8.25","NONE;-1",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"100894","100013","WBRQK","D","755","320","900","360","0","0","0","0","0","0","5","24;1;100013;0005","0;1;100013;0005","0;1;100013;0005","0;1;100013;","0;1;100013;","0;1;100013;","100","False","False","False","True","False","-1","ArrowLeft","2","1","6","","Microsoft Sans Serif;Regular;8.25","WBRQK;-16711936",";-;",,"NONE","False","",,"False","False","False","0","False","False","False",,"0",
"100895","100013","EBRLK","D","755","340","905","345","0","0","0","0","0","0","5","23;1;100013;0005","0;1;100013;0005","0;1;100013;0005","9;1;100013;","0;1;100013;","0;1;100013;","100","False","False","False","False","False","-1","ArrowRight","2","1","7","","Microsoft Sans Serif;Regular;8.25","EBRLK;-16711936",";-;","True","NONE","False","",,"False","False","False","0","False","False","False",,"0",
