"SystemUID","RouteGUID","EntrySignal","EntrySignalName","EntrySignalToolTipName","ExitSignal","ExitSignalName","ExitSignalToolTipName","CPUID","ControlPointName","SwitchList","Priority","IsEnabled"
"F173A5E384","177@100","100727","E-SIGNAL","EA_B","100729","W-SIGNAL","WC_D","100000","CARL","100730;4-SWITCH;TRUE","2","True"
"F791F2916F","137@100","100727","E-SIGNAL","EA_B","100974","W-SIGNAL","WA_B","100000","CARL","100730;4-SWITCH;FALSE","1","True"
"7457FFCEAF","040@100","100729","W-SIGNAL","WC_D","100727","E-SIGNAL","EA_B","100000","CARL","100730;4-SWITCH;TRUE","1","True"
"9CCDD218AE","052@100","100974","W-SIGNAL","WA_B","100727","E-SIGNAL","EA_B","100000","CARL","100730;4-SWITCH;FALSE","1","True"
"82B3D27773","101@100","100121","E-SIGNAL","EA_B","100122","W-SIGNAL","WA","100001","SONGS","100124;28-SWITCH;FALSE","1","True"
"E49894DDF6","150@100","100121","E-SIGNAL","EA_B","100123","W-SIGNAL","WB","100001","SONGS","100124;28-SWITCH;TRUE","2","True"
"10BB8117F9","001@100","100122","W-SIGNAL","WA","100121","E-SIGNAL","EA_B","100001","SONGS","100124;28-SWITCH;FALSE","1","True"
"FF164C1EBD","002@100","100123","W-SIGNAL","WB","100121","E-SIGNAL","EA_B","100001","SONGS","100124;28-SWITCH;TRUE","1","True"
"8BF4612B15","103@100","100148","2E-SIGNAL","2EA_B","100151","2W-SIGNAL","2WA_B","100002","DON","100149;1-SWITCH;FALSE|100150;3-SWITCH;FALSE","1","True"
"97C38F0F2A","184@100","100148","2E-SIGNAL","2EA_B","100151","2W-SIGNAL","2WA_B","100002","DON","100149;1-SWITCH;TRUE|100168;1-SWITCH;TRUE|100169;3-SWITCH;TRUE|100150;3-SWITCH;TRUE","3","True"
"D72539FB61","152@100","100148","2E-SIGNAL","2EA_B","100170","4W-SIGNAL","4WA_B","100002","DON","100149;1-SWITCH;TRUE|100168;1-SWITCH;TRUE|100169;3-SWITCH;FALSE","2","True"
"E4B5C805B9","005@100","100151","2W-SIGNAL","2WA_B","100148","2E-SIGNAL","2EA_B","100002","DON","100150;3-SWITCH;FALSE|100149;1-SWITCH;FALSE","1","True"
"AF8E396B5F","085@100","100151","2W-SIGNAL","2WA_B","100148","2E-SIGNAL","2EA_B","100002","DON","100150;3-SWITCH;TRUE|100169;3-SWITCH;TRUE|100168;1-SWITCH;TRUE|100149;1-SWITCH;TRUE","3","True"
"B446289AF5","053@100","100151","2W-SIGNAL","2WA_B","100167","4E-SIGNAL","4EA_B","100002","DON","100150;3-SWITCH;TRUE|100169;3-SWITCH;TRUE|100168;1-SWITCH;FALSE","2","True"
"AD2742D5D9","153@100","100167","4E-SIGNAL","4EA_B","100151","2W-SIGNAL","2WA_B","100002","DON","100168;1-SWITCH;FALSE|100169;3-SWITCH;TRUE|100150;3-SWITCH;TRUE","2","True"
"DEE02F0148","104@100","100167","4E-SIGNAL","4EA_B","100170","4W-SIGNAL","4WA_B","100002","DON","100168;1-SWITCH;FALSE|100169;3-SWITCH;FALSE","1","True"
"990C89C452","056@100","100170","4W-SIGNAL","4WA_B","100148","2E-SIGNAL","2EA_B","100002","DON","100169;3-SWITCH;FALSE|100168;1-SWITCH;TRUE|100149;1-SWITCH;TRUE","2","True"
"01450EB5FA","008@100","100170","4W-SIGNAL","4WA_B","100167","4E-SIGNAL","4EA_B","100002","DON","100169;3-SWITCH;FALSE|100168;1-SWITCH;FALSE","1","True"
"129252A3F7","151@100","100142","65-SIGNAL","EA_B","100143","66-SIGNAL","WB","100003","PULGAS","100145;30-SWITCH;TRUE","2","True"
"E6FC16C2C3","102@100","100142","65-SIGNAL","EA_B","100144","66-SIGNAL","WA","100003","PULGAS","100145;30-SWITCH;FALSE","1","True"
"45F168EAAF","003@100","100143","66-SIGNAL","WB","100142","65-SIGNAL","EA_B","100003","PULGAS","100145;30-SWITCH;TRUE","1","True"
"8909B69042","004@100","100144","66-SIGNAL","WA","100142","65-SIGNAL","EA_B","100003","PULGAS","100145;30-SWITCH;FALSE","1","True"
"B5EC3FC94B","062@100","100300","4W-SIGNAL","4W","100389","2E-SIGNAL","2E","100004","CUDAHY","100295;3-SWITCH;TRUE|100285;3-SWITCH;TRUE|100282;1-SWITCH;FALSE","2","True"
"C3BF948211","017@100","100300","4W-SIGNAL","4W","100433","4E-SIGNAL","4E","100004","CUDAHY","100295;3-SWITCH;FALSE|100276;1-SWITCH;FALSE","1","True"
"0EDC915C31","090@100","100300","4W-SIGNAL","4W","100433","4E-SIGNAL","4E","100004","CUDAHY","100295;3-SWITCH;TRUE|100285;3-SWITCH;TRUE|100282;1-SWITCH;TRUE|100276;1-SWITCH;TRUE","3","True"
"5DBA3CA588","018@100","100301","2W-SIGNAL","2W","100389","2E-SIGNAL","2E","100004","CUDAHY","100285;3-SWITCH;FALSE|100282;1-SWITCH;FALSE","1","True"
"867F6A285D","063@100","100301","2W-SIGNAL","2W","100433","4E-SIGNAL","4E","100004","CUDAHY","100285;3-SWITCH;FALSE|100282;1-SWITCH;TRUE|100276;1-SWITCH;TRUE","2","True"
"9BD39DACB3","162@100","100389","2E-SIGNAL","2E","100300","4W-SIGNAL","4W","100004","CUDAHY","100282;1-SWITCH;FALSE|100285;3-SWITCH;TRUE|100295;3-SWITCH;TRUE","2","True"
"7F4E404626","119@100","100389","2E-SIGNAL","2E","100301","2W-SIGNAL","2W","100004","CUDAHY","100282;1-SWITCH;FALSE|100285;3-SWITCH;FALSE","1","True"
"E20A7308BE","122@100","100433","4E-SIGNAL","4E","100300","4W-SIGNAL","4W","100004","CUDAHY","100276;1-SWITCH;FALSE|100295;3-SWITCH;FALSE","1","True"
"66C9CFF528","189@100","100433","4E-SIGNAL","4E","100300","4W-SIGNAL","4W","100004","CUDAHY","100276;1-SWITCH;TRUE|100282;1-SWITCH;TRUE|100285;3-SWITCH;TRUE|100295;3-SWITCH;TRUE","3","True"
"A69331805B","165@100","100433","4E-SIGNAL","4E","100301","2W-SIGNAL","2W","100004","CUDAHY","100276;1-SWITCH;TRUE|100282;1-SWITCH;TRUE|100285;3-SWITCH;FALSE","2","True"
"B818A2BC35","006@100","100164","4W-SIGNAL","4WA","100661","4E-SIGNAL","4E","100005","STUART","100166;3-SWITCH;FALSE|100679;1-SWITCH;FALSE","1","True"
"045A50ACBD","054@100","100164","4W-SIGNAL","4WA","100689","2E-SIGNAL","2E","100005","STUART","100166;3-SWITCH;FALSE|100679;1-SWITCH;TRUE|100684;1-SWITCH;TRUE","2","True"
"AAF23C22FC","007@100","100165","4W-SIGNAL","4WC","100661","4E-SIGNAL","4E","100005","STUART","100166;3-SWITCH;TRUE|100679;1-SWITCH;FALSE","1","True"
"D6EFE77D63","055@100","100165","4W-SIGNAL","4WC","100689","2E-SIGNAL","2E","100005","STUART","100166;3-SWITCH;TRUE|100679;1-SWITCH;TRUE|100684;1-SWITCH;TRUE","2","True"
"BAB3A1DDA2","132@100","100661","4E-SIGNAL","4E","100164","4W-SIGNAL","4WA","100005","STUART","100679;1-SWITCH;FALSE|100166;3-SWITCH;FALSE","1","True"
"03F8CC72FA","172@100","100661","4E-SIGNAL","4E","100165","4W-SIGNAL","4WC","100005","STUART","100679;1-SWITCH;FALSE|100166;3-SWITCH;TRUE","2","True"
"765C0BA592","173@100","100689","2E-SIGNAL","2E","100164","4W-SIGNAL","4WA","100005","STUART","100684;1-SWITCH;TRUE|100679;1-SWITCH;TRUE|100166;3-SWITCH;FALSE","2","True"
"A14DB8091E","191@100","100689","2E-SIGNAL","2E","100165","4W-SIGNAL","4WC","100005","STUART","100684;1-SWITCH;TRUE|100679;1-SWITCH;TRUE|100166;3-SWITCH;TRUE","3","True"
"648B0D9FAF","134@100","100689","2E-SIGNAL","2E","100889","2W-SIGNAL","2W","100005","STUART","100684;1-SWITCH;FALSE","1","True"
"5A2393E4D1","045@100","100889","2W-SIGNAL","2W","100689","2E-SIGNAL","2E","100005","STUART","100684;1-SWITCH;FALSE","1","True"
"9C3F410191","154@100","100171","4E-SIGNAL","EB","100882","2W-SIGNAL","2W","100006","MESA","100665;1-SWITCH;TRUE|100675;3-SWITCH;TRUE|100674;3-SWITCH;TRUE","2","True"
"479E86F969","105@100","100171","4E-SIGNAL","EB","100915","4W-SIGNAL","WA","100006","MESA","100665;1-SWITCH;TRUE|100675;3-SWITCH;FALSE","1","True"
"6C9744185A","133@100","100667","2E-SIGNAL","2E","100882","2W-SIGNAL","2W","100006","MESA","100674;3-SWITCH;FALSE","1","True"
"F4E7E77B4C","096@100","100882","2W-SIGNAL","2W","100171","4E-SIGNAL","EB","100006","MESA","100674;3-SWITCH;TRUE|100675;3-SWITCH;TRUE|100665;1-SWITCH;TRUE","3","True"
